seed,group,method,model,target_city,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,variant
2025,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Chicago,0.0,0.0,1.0,0.0,1.0,0.2940619358445818,0.15971979434443967,,,graph_rerank,without_rr
2025,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Chicago,0.0,0.0,1.0,1.0,0.0,0.28473252595420884,0.15924177173480725,,,graph_rerank,without_pop
2025,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Chicago,0.0,0.0,1.0,1.0,1.0,0.29744257474302005,0.16363833249585008,,,graph_rerank,full
2025,main_component,Target-only,VanillaMF,NYC,0.0,0.0,0.0,0.0,0.0,0.15974456120769484,0.0696769404796986,,,local,
2025,main_component,Original-OTC-GW-NoFallback,VanillaMF,NYC,0.5,0.0,0.0,0.0,0.0,0.15495093104540109,0.06552890447261056,Chicago|Singapore|Tokyo,equal,transfer,
2025,main_component,RD-Safe-OTC-GW,VanillaMF,NYC,0.0,0.0,0.0,0.0,0.0,0.15974456120769484,0.0696769404796986,,,safe_select:Local,
2025,main_component,HR-Rerank-OTC-GW,VanillaMF,NYC,0.5,0.0,1.0,1.0,0.2,0.1896759333856108,0.09095661198504215,Chicago|Singapore|Tokyo,equal,graph_rerank,
2025,hr_signal_ablation,RD-Safe+Cat,VanillaMF,NYC,0.0,0.0,1.0,0.0,0.0,0.18820273300688048,0.09025086605411681,,,graph_rerank,cat_only
2025,hr_signal_ablation,RD-Safe+RR,VanillaMF,NYC,0.0,0.0,0.0,0.5,0.0,0.1652310064061216,0.07150244308159776,,,graph_rerank,rr_only
2025,hr_signal_ablation,RD-Safe+Pop,VanillaMF,NYC,0.0,0.0,0.0,0.0,0.5,0.16450055789917542,0.0705447519688732,,,graph_rerank,pop_only
2025,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,NYC,0.0,0.0,0.0,0.5,0.2,0.16771239598428536,0.07189204304316013,,,graph_rerank,without_cat
2025,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,NYC,0.0,0.0,1.0,0.0,0.0,0.18820273300688048,0.09025086605411681,,,graph_rerank,without_rr
2025,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,NYC,0.0,0.0,1.0,0.5,0.0,0.19788826849886756,0.09471593187982867,,,graph_rerank,without_pop
2025,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,NYC,0.0,0.0,1.0,1.0,0.2,0.20500879646040937,0.09522822289349109,,,graph_rerank,full
2025,main_component,Target-only,VanillaMF,Singapore,0.0,0.0,0.0,0.0,0.0,0.45641246785711553,0.20956458479806075,,,local,
2025,main_component,Original-OTC-GW-NoFallback,VanillaMF,Singapore,0.5,0.0,0.0,0.0,0.0,0.4559048536439176,0.2056259223963912,Chicago|NYC|Tokyo,equal,transfer,
2025,main_component,RD-Safe-OTC-GW,VanillaMF,Singapore,0.0,0.0,0.0,0.0,0.0,0.45641246785711553,0.20956458479806075,,,safe_select:Local,
2025,main_component,HR-Rerank-OTC-GW,VanillaMF,Singapore,0.5,0.0,1.0,0.2,0.5,0.49607609790304247,0.2365937673809126,Chicago|NYC|Tokyo,equal,graph_rerank,
2025,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Singapore,0.0,0.0,1.0,0.0,0.0,0.4961236867355298,0.23410667008086494,,,graph_rerank,cat_only
2025,hr_signal_ablation,RD-Safe+RR,VanillaMF,Singapore,0.0,0.0,0.0,0.5,0.0,0.4612064362058763,0.2119954013454359,,,graph_rerank,rr_only
2025,hr_signal_ablation,RD-Safe+Pop,VanillaMF,Singapore,0.0,0.0,0.0,0.0,1.0,0.4654896977338378,0.21034954747337847,,,graph_rerank,pop_only
2025,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Singapore,0.0,0.0,0.0,0.2,1.0,0.4642603195612489,0.21441818233581605,,,graph_rerank,without_cat
2025,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Singapore,0.0,0.0,1.0,0.0,0.0,0.4961236867355298,0.23410667008086494,,,graph_rerank,without_rr
2025,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Singapore,0.0,0.0,1.0,1.0,0.0,0.5210337967186093,0.23995343583982,,,graph_rerank,without_pop
2025,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Singapore,0.0,0.0,1.0,0.5,0.1,0.5040075699842608,0.24034890658778857,,,graph_rerank,full
2025,main_component,Target-only,VanillaMF,Tokyo,0.0,0.0,0.0,0.0,0.0,0.11685598141655738,0.055991706073822076,,,local,
2025,main_component,Original-OTC-GW-NoFallback,VanillaMF,Tokyo,1.5,0.0,0.0,0.0,0.0,0.11469055799129144,0.05421849975987729,Chicago|NYC|Singapore,equal,transfer,
2025,main_component,RD-Safe-OTC-GW,VanillaMF,Tokyo,0.0,0.0,0.0,0.0,0.0,0.11685598141655738,0.055991706073822076,,,safe_select:Local,
2025,main_component,HR-Rerank-OTC-GW,VanillaMF,Tokyo,1.5,0.0,1.0,1.0,0.0,0.14909955610632983,0.0761826347606557,Chicago|NYC|Singapore,equal,graph_rerank,
2025,hr_signal_ablation,RD-Safe+Cat,VanillaMF,Tokyo,0.0,0.0,1.0,0.0,0.0,0.14322695375979025,0.07040151589569345,,,graph_rerank,cat_only
2025,hr_signal_ablation,RD-Safe+RR,VanillaMF,Tokyo,0.0,0.0,0.0,1.0,0.0,0.1331979645330062,0.06509144922526029,,,graph_rerank,rr_only
2025,hr_signal_ablation,RD-Safe+Pop,VanillaMF,Tokyo,0.0,0.0,0.0,0.0,1.0,0.11908773561681553,0.05702136584061208,,,graph_rerank,pop_only
2025,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Tokyo,0.0,0.0,0.0,1.0,0.2,0.1338541325120088,0.06554609542184157,,,graph_rerank,without_cat
2025,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Tokyo,0.0,0.0,1.0,0.0,0.0,0.14322695375979025,0.07040151589569345,,,graph_rerank,without_rr
2025,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Tokyo,0.0,0.0,1.0,1.0,0.0,0.15244606768828317,0.07621160575047277,,,graph_rerank,without_pop
2025,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Tokyo,0.0,0.0,1.0,1.0,0.1,0.15244606768828317,0.0765726045542736,,,graph_rerank,full
2025,main_component,Target-only,LightGCN,Chicago,0.0,0.0,0.0,0.0,0.0,0.6389030408655839,0.37178044139924143,,,local,
2025,main_component,Original-OTC-GW-NoFallback,LightGCN,Chicago,0.5,0.0,0.0,0.0,0.0,0.3124086890511253,0.14421813128348412,NYC|Singapore|Tokyo,equal,transfer,
