seed,group,method,model,target_city,eval_split,recall@20,ndcg@20,status,notes,alpha,beta,lambda_cat,lambda_rr,lambda_pop,valid_recall@20,valid_ndcg@20,selected_sources,source_weights,gate,score_norm
2024,hr_signal_ablation,RD-Safe+RR,VanillaMF,Tokyo,strict_unseen_test,0.11928933254074513,0.05482991684528417,success,HR signal ablation: only region-region diffusion on RD-Safe.,0.0,0.0,0.0,1.0,0.0,0.13244045786998773,0.06476988650321812,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Pop,VanillaMF,Tokyo,official_test,0.12603296922845778,0.06740394954652909,success,HR signal ablation: only region popularity prior on RD-Safe.,0.0,0.0,0.0,0.0,0.1,0.11741081071154416,0.056933142615200286,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+Pop,VanillaMF,Tokyo,strict_unseen_test,0.12108313768832686,0.05791418375006914,success,HR signal ablation: only region popularity prior on RD-Safe.,0.0,0.0,0.0,0.0,0.1,0.11741081071154416,0.056933142615200286,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Tokyo,official_test,0.13638407596492189,0.07484899943584918,success,HR leave-one-out ablation: remove category-region affinity.,0.0,0.0,0.0,1.0,0.5,0.13063264813191927,0.06509417936645331,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Cat,VanillaMF,Tokyo,strict_unseen_test,0.1162847189305952,0.05407561407074612,success,HR leave-one-out ablation: remove category-region affinity.,0.0,0.0,0.0,1.0,0.5,0.13063264813191927,0.06509417936645331,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Tokyo,official_test,0.1560620301532813,0.08496832516919277,success,HR leave-one-out ablation: remove region-region diffusion.,0.0,0.0,1.0,0.0,0.0,0.1435111800876951,0.07008610734937078,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-RR,VanillaMF,Tokyo,strict_unseen_test,0.12768443359501574,0.06158530954930813,success,HR leave-one-out ablation: remove region-region diffusion.,0.0,0.0,1.0,0.0,0.0,0.1435111800876951,0.07008610734937078,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Tokyo,official_test,0.1671150155160326,0.09357764275964466,success,HR leave-one-out ablation: remove region popularity prior.,0.0,0.0,1.0,1.0,0.0,0.15414396865820912,0.07692327157753964,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-w/o-Pop,VanillaMF,Tokyo,strict_unseen_test,0.1241642306324695,0.058365295964814,success,HR leave-one-out ablation: remove region popularity prior.,0.0,0.0,1.0,1.0,0.0,0.15414396865820912,0.07692327157753964,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Tokyo,official_test,0.1654896177292175,0.09141984777655125,success,Full HR reranking on RD-Safe base.,0.0,0.0,1.0,1.0,1.0,0.15433952611007937,0.07729575782564595,,,graph_rerank,none
2024,hr_signal_ablation,RD-Safe+HR-Full,VanillaMF,Tokyo,strict_unseen_test,0.12627347432994848,0.058865203924626366,success,Full HR reranking on RD-Safe base.,0.0,0.0,1.0,1.0,1.0,0.15433952611007937,0.07729575782564595,,,graph_rerank,none
2024,main_component,Target-only,LightGCN,Chicago,official_test,0.2867504855240495,0.2090576278856552,success,Local target-city backbone only.,0.0,0.0,0.0,0.0,0.0,0.6868421611585456,0.399268045250924,,,local,none
