model,method,target_city,eval_split,recall@20_mean,ndcg@20_mean,delta_R_vs_target_mean,delta_N_vs_target_mean,pct_R_vs_target_mean,pct_N_vs_target_mean,delta_R_vs_otc_mean,delta_N_vs_otc_mean,pct_R_vs_otc_mean,pct_N_vs_otc_mean,recall@20_std,ndcg@20_std,delta_R_vs_target_std,delta_N_vs_target_std,pct_R_vs_target_std,pct_N_vs_target_std,delta_R_vs_otc_std,delta_N_vs_otc_std,pct_R_vs_otc_std,pct_N_vs_otc_std,recall@20_mean±std,ndcg@20_mean±std
LightGCN,RD-Safe-OTC-GW,Tokyo,official_test,0.17591931954887483,0.11305197263962687,0.0,0.0,0.0,0.0,0.040012023681825826,0.038191155530030364,29.589965839715386,51.32642245936154,0.0053565559900697,0.0012069199760287423,0.0,0.0,0.0,0.0,0.005875216249779298,0.0038726004276989877,5.572885897089454,8.178836222926588,0.1759±0.0054,0.1131±0.0012
LightGCN,RD-Safe-OTC-GW,Tokyo,strict_unseen_test,0.11211754768545257,0.052320460593380635,0.0,0.0,0.0,0.0,0.00012033887340133498,-0.003011899628232668,0.24961175694767831,-5.364342403829817,0.008087059711518805,0.004371142406111023,0.0,0.0,0.0,0.0,0.005571619104393967,0.0027629602490901847,5.228257945254965,5.0342599070486225,0.1121±0.0081,0.0523±0.0044
LightGCN,Target-only,Chicago,official_test,0.2762458588395536,0.20436817564130225,0.0,0.0,0.0,0.0,0.030869597693125805,0.046288397291840915,12.570931574725734,29.428458807668438,0.009169542392533628,0.004066646890473409,0.0,0.0,0.0,0.0,0.0026871545158210436,0.004818547834336973,0.8420013752765092,4.53748261867171,0.2762±0.0092,0.2044±0.0041
LightGCN,Target-only,Chicago,strict_unseen_test,0.19337439012512644,0.10045410892196682,0.0,0.0,0.0,0.0,0.00036151151271955156,-0.002754599772193241,0.14644551704914957,-2.343161898434026,0.010275465954143389,0.001984875596173512,0.0,0.0,0.0,0.0,0.005855287559362216,0.007848760667091143,2.9864912369019176,7.154326633697112,0.1934±0.0103,0.1005±0.0020
LightGCN,Target-only,NYC,official_test,0.20203272937442382,0.1150797316856517,0.0,0.0,0.0,0.0,0.07982201152074565,0.0501021975481069,65.89241986085402,78.90258545576141,0.009444348464795527,0.0020178139211846752,0.0,0.0,0.0,0.0,0.012830136222367656,0.008532837843777752,14.204061116370777,22.378083341616744,0.2020±0.0094,0.1151±0.0020
LightGCN,Target-only,NYC,strict_unseen_test,0.13199067087519858,0.054442843295610936,0.0,0.0,0.0,0.0,0.0409579760940035,0.012239578439801268,45.85186958912356,29.57275345216277,0.01118211070254519,0.0036374165653765642,0.0,0.0,0.0,0.0,0.015626827963826022,0.005881745162452666,19.371362917507806,15.141303899234176,0.1320±0.0112,0.0544±0.0036
LightGCN,Target-only,Singapore,official_test,0.46941836613096405,0.26404715430205955,0.0,0.0,0.0,0.0,0.058349057599026734,0.04571640785339363,14.272497214528798,21.055491360515212,0.010136691797882331,0.005497490743332003,0.0,0.0,0.0,0.0,0.0113648313383749,0.010584680009674389,3.2483148668527817,5.599315886951486,0.4694±0.0101,0.2640±0.0055
LightGCN,Target-only,Singapore,strict_unseen_test,0.39493699624934536,0.17835050114843498,0.0,0.0,0.0,0.0,0.03008661761117502,0.0103937860002912,8.716601178085975,6.7659120444402765,0.01275124226607261,0.008813327081128216,0.0,0.0,0.0,0.0,0.023330878742447478,0.011824303722720276,7.321981375597489,7.332960457383495,0.3949±0.0128,0.1784±0.0088
LightGCN,Target-only,Tokyo,official_test,0.17591931954887483,0.11305197263962687,0.0,0.0,0.0,0.0,0.040012023681825826,0.038191155530030364,29.589965839715386,51.32642245936154,0.0053565559900697,0.0012069199760287423,0.0,0.0,0.0,0.0,0.005875216249779298,0.0038726004276989877,5.572885897089454,8.178836222926588,0.1759±0.0054,0.1131±0.0012
LightGCN,Target-only,Tokyo,strict_unseen_test,0.11211754768545257,0.052320460593380635,0.0,0.0,0.0,0.0,0.00012033887340133498,-0.003011899628232668,0.24961175694767831,-5.364342403829817,0.008087059711518805,0.004371142406111023,0.0,0.0,0.0,0.0,0.005571619104393967,0.0027629602490901847,5.228257945254965,5.0342599070486225,0.1121±0.0081,0.0523±0.0044
VanillaMF,HR-Rerank-OTC-GW,Chicago,official_test,0.22697833102637463,0.16021171932711029,0.03201418647776219,0.027550502307974123,16.501115641326262,20.789102899886917,0.09039817596142909,0.05119926592000129,70.94561959627366,47.92379731011635,0.0068000046588017225,0.00463074046386024,0.00930887318221219,0.0036604843212349257,5.201328890064814,2.976698794921671,0.024857540308028725,0.00899234789052676,33.38008482872625,13.17604853115718,0.2270±0.0068,0.1602±0.0046
